,A
10,"대 소련 전을 포함하여 매 경기 접전을 벌였음에도 대한민국 팀은 7위에 그쳤지만 개인적으로는 리바운드 2위(7.0), 블록슛 6위(0.8), 스틸 7위(1.4), 평균 득점 24위(9.4)라는 준수한 토너먼트 성적을 올리며 재기의 모습을 확실하게 보여주었다. 서울 올림픽 직후 홍콩에서 열린 아시아 여자 농구 선수권 대회 결승전에서도 공격에서 12득점을 올리고 수비에서 장신 센터 정하이샤(204 cm)를 꽁꽁 묶어 대한민국이 중국을 꺾고 금메달을 따는 데 큰 공을 세웠다. 고질적인 무릎 부상에서 벗어나 1988년 11월에 개막된 1988-89 농구대잔치에서 비로소 처음 정규 시즌을 모두 소화하며 1차리그와 2차리그 리바운드 1위, 3차리그 MVP를 차지하였다. 1989년 2월 서울신탁은행을 상대로 한 챔피언 결정전에서도 맹활약을 펼쳐 소속팀 동방생명을 3연패 우승으로 이끌며 1988-89 농구대잔치 MVP에 선정되었다. 시즌 MVP는 물론 리바운드 1위(13.0), 득점 3위(16.6), 어시스트 2위(3.4) 등 올라운드 플레이어로서의 기량을 완벽하게 선보이며 전성시대를 다시 한번 맞이하게 되었다. 또한 1989년 7월에 열린 서울국제농구대회 예선전에서 장신의 소련 대표팀을 맞아 13득점, 13리바운드를 기록하며 맹활약, 대한민국 여자 농구 사상 처음으로 소련 대표팀을 꺾는 데 일조를 하였다. 1989-90 농구대잔치에서는 동방생명에서 삼성생명으로 이름을 바꾼 소속팀이 1차리그와 3차리그 우승을 거머쥐면서 시즌 4연패가 유력시되었지만 챔피언 결정전에서 맞수 국민은행에게 덜미를 잡히면서 준우승에 그쳤다."
11,"구족을 돈목하게 하고 사색의 당파를 평등하게 기용하였으며, 요행의 문로를 막고 언론의 통로를 열며 침체된 사람들을 발탁하고 세도가들을 물리쳤다.'고 평가했다. 현재, 대원군에 대한 평가는 병인박해의 피해를 입은 한국 천주교회, 안동 김씨, 여흥 민씨 가문 등 흥선대원군과 관련자들의 이해관계가 얽혀 있으므로 객관적인 평가는 어렵다. 독립운동가이자 의열단 단장인 김원봉(金元鳳)은 대원군의 쇄국정책이 조선의 발전을 저해하였다고 비판했다. 그에 의하면 ""프랑스 함대와 미국 함대를 격퇴시킨 병인양요(1868년)와 신미양요(1871년)는 그 나름대로 (양이(존왕양이)(攘夷) 의식에 따르는) 민족적, 국수주의적 견지에서 통쾌한 일이었지만, 그러나 세계 정세에서 살펴보면 민족의 장래를 그르치게 한 어리석은 짓이었다.""라는 것이다. 역사가이자 유학자인 황현은 대원군의 월권행위와 독재를 지적, 비판했다. 황현에 의하면 '종전의 세도는 비록 한사람이 주관하고 있을지라도 아들과 조카, 인척들이 종종 한몫을 하고 있었으므로, 서로 간섭하고 부족한 점을 보완하여 오직 실각하지 않을까 두려워했다. 그러내 대원군 때는 혼자 집권했기 때문에, 비록 음관(음서 제도) 한 명이나 변방의 장수 한 사람이라도 대원군을 거치지 않고는 명령을 발령할 수가 없었다."
12,"성당 건축 조합은 성당의 붕괴를 막기 위하여 수십 년 동안 보수 작업을 진행하고 있다. 1960년대 독일은 노동력의 확보를 위하여 이주 노동자들을 받기 시작하였다. 특히 많은 터키 이주 노동자들이 독일에 이민을 왔는데 당시 독일에는 무슬림이였던 그들을 위한 이슬람 예배 공간이 존재하지 않았다. 이를 해결하기 위한 터키 이민노동법에 따라 쾰른 대성당은 북쪽 본당을 이슬람 예배를 위하여 사용하도록 허용하였다. 특히 1965년 라마단의 마지막 날에는 400여 명의 이슬람 신도가 쾰른 대성당 내부에 양탄자를 깔고 라마단의 끝을 축하하는 기도를 하나님에게 하였다. 당시 본당 주임 신부는 언론을 통하여 쾰른 대성당에서 다른 종교인들이 예배하는 것이 ""전혀 이상한 것이 아님""을 강조하였다. 쾰른 대성당은 1996년 유네스코에 유럽의 고딕 건축 걸작으로서 세계 문화유산으로 등록되었다."
13,"푸들(poodle)은 개의 품종 중 하나이며, 프랑스의 국견이다. 원산지는 독일이고, 프랑스 귀족 여성들에 의해 인기를 얻어 널리 번식 되었으며, 털이 길고 양털 모양으로 아름답다. 전에는 사냥개로, 또는 잡은 사냥감을 찾아오는 개로 이용됐지만 지금은 애완동물로 인기가 높다. 털은 흰색 또는 검은색, 회색, 갈색, 살구색이고 곱슬곱슬하다. ""푸들""은 네 변종이있는데, 어깨의 높이로 구분한다. 토이푸들의 체고(어깨높이)는 25cm 이하에 몸무게는 2~3kg이고, 미니어처푸들의 체고는 25~35cm에 몸무게는 3~6kg에다, 미디엄 푸들은 35~45cm에, 몸무게는 6~20kg(추측)이며, 스탠더드푸들의 체고는 38cm 이상에, 몸무게는 20~27kg이다. 푸들은 명랑하고 가벼운 몸으로 재주를 보여 주는 것을 좋아한다."
14,"본디 8장이 더 있었으나 현재 분실된 상태이다. 북유럽 신화 연구의 중요한 1차 자료이며, 이 필사본에밖에 존재하지 않는 고대 시가도 상당하다. 1643년 이전의 이 필사본의 행방에 대해서는 아무 것도 알려진 바가 없다. 1643년에 당시 스칼홀트 주교 브리뇰푸르 스베인손이 이 문서를 입수하여, 1662년에 덴마크의 프레데리크 3세에게 진상했다. 이런 전차로 ‘왕의 서’라고 불리게 되었다. 이후 문서는 1971년 4월 21일까지 코펜하겐 왕립도서관에 소장되어 있었고, 이후 레이캬비크로 반환되어 현재 아르니 마그누손 연구소에서 보관중이다. 이런 보물을 운반하기에 항공편은 미덥지 못하다고 여겨, 군대의 호위를 받으면서 선박 편으로 이송되었다."
15,"뇌빌은 스위스 로카르노에서 이탈리아인 어머니와 벨기에계 독일인 아버지 사이에서 태어났으며, 이탈리아권 도시인 로카르노에서 자랐다. 그는 18살 때 이탈리아 국적을 취득하였으나, 독일 국적도 포기하지 않고 있었다. 그는 독일어를 잘 몰라서 이후 독일 축구 국가대표로 활동할 때에는 통역이 필요할 정도였다. 그는 1992년 스위스 슈퍼리그의 세르베트 FC에서 선수 생활을 시작하였으며, 스페인 프리메라리가의 CD 테네리페에서도 잠시 선수생활을 하였으나, 1997년 이후 독일 분데스리가로 와서 주로 선수생활을 하였다. 그는 1997년부터 1999년까지 FC 한자 로스토크, 1999년부터 2004년까지 바이어 04 레버쿠젠, 2004년부터 보루시아 묀헨글라트바흐에서 선수로 활동하였다. 그는 독일 국가대표팀으로도 선발되어, 2002년 FIFA 월드컵에서 파라과이와의 16강전, 2006년 FIFA 월드컵 본선과 예선의 폴란드전에서 골을 기록하는 등 활약을 하였다. 그는 1998년 9월 2일 몰타와의 경기에서 첫 출전 후 69회의 국가대항전을 치렀으며, 10골을 기록하였다."
16,"세계 7대 불가사의 중의 하나인 ""알렉산드리아의 등대""(""파로스의 등대""라고도 불림)가 있었고 고대세계에서 가장 큰 도서관인 ""알렉산드리아 도서관""이 있었던 것으로 유명하여 유클리드도 이 도시 출신이다. 알렉산드리아는 그리스계의 자유도시로 존재했었으나 기원전 80년 프톨레마이오스 10세 때 로마 공화정의 영향 아래 들어갔다. 율리우스 카이사르는 이집트 내전에 개입하였고 클레오파트라 7세가 옥타비아누스에게 반기를 든 이후 프톨레마이오스 왕조가 멸망하고 아우구스투스 때부터는 로마 제국의 직접 지배를 받았다. 알렉산드리아는 1세기에는 세계 최대의 디아스포라를 맞아 '유대의 플라톤' 철학자 필론 등이 활약하며 헬레니즘과 헤브라이즘 사이의 학문적 교류가 일어났다. 알렉산드리아에서 유대인들은 그리스인들과 함께 유력한 공동체를 이루고 있었으며 구약성경의 가장 중요한 번역본인 셉츄아진트(70인역)본도 바로 알렉산드리아에서 나왔다. 또한 크리스트교의 중요한 거점이 되어 고대 신학(神学)의 중심지 가운데 하나가 되어 크리스트교 교리와 신학의 연구가 가장 활발하게 이루어졌고, 알렉산드리아를 거점으로 활약한 신학자들을 아울러 알렉산드리아 학파로 부르며 안티오키아를 거점으로 하는 안티오키아 학파와 더불어 초기 크리스트교 연구에 중요한 중심축이 되었다. 초기 크리스트교의 유명한 아리우스와 그의 반대자 아타나시우스가 이 도시에서 활동했다."
17,"아다치 미츠루의 인기 만화 《터치》를 원작으로, 2005년 실사 영화로 제작되어 개봉되었다. 히로인의 아사쿠라 미나미 역은 나가사와 마사미, 쌍둥이 형제 타츠야, 카즈야 역을 실제로도 쌍둥이인 사이토 쇼타, 사이토 케이타 형제가 연기하였다. 감독은 이누도 잇신이 맡았는데, 당시 이누도 감독은 영화 《메종 드 히미코》의 촬영을 막 끝낸 이후라 피곤한 상태였지만, 영화 《세상의 중심에서 사랑을 외치다(세상의 중심에서 사랑을 외치다 (영화))》의 나가사와 마사미가 캐스팅되었다는 말에 당장 수락했다고 한다. 나가사와 마사미의 출신지(시즈오카 현 이와타 시)의 버스의 운행 구역으로 하는 엔슈철도의 IC 카드 ""나이스패스"" 이용자를 대상으로 영화의 시사회에 추첨으로 초대하는 캠페인을 실시했다. 하마마츠 시의 도호 시네마즈는 ""나이스패스""를 제시하여 본 영화 요금 할인도 실시하였다. 《터치》(, Touch)는, 아다치 미츠루 원작의 야구 만화이다. 《주간 소년 선데이》(쇼가쿠칸)에서 1981년부터 1986년까지 연재되었다."
18,"사회 운동(社會運動, ) 또는 시민 운동(市民運動)은 기존의 사회 구조와 제도를 변화·개선시키기 위하여 대중과 시민이 자발적으로 참여하는, 조직적이고 집합적이며 연속적인 다양한 행동을 의미한다. 사회운동은 때로 시민운동, 인권운동 등과 다른 차원에서 논의되기도 하나 오늘날 이를 다 포괄하여 사회운동이라 한다. 단, 20세기 초까지만 해도 서구적 맥락에서 사회운동은 근본적인 사회 변혁을 추구하는 노동자계급에 의한 사회주의 운동을 뜻했다. 한국에서의 최초의 시민운동은 1896년 등장한 독립협회와 만민공동회로 서재필, 윤치호 등의 지식인들 중심으로 민권 운동, 참정권 운동, 의회 설립 운동, 노비 제도 폐지 운동 등을 주장하기 시작한 것이 시발점이 되었다. 현대(현대사)는 사회 운동의 시대라고 해도 과언이 아니다. 현대 사회의 대다수 사람들은 어떤 형태로든 사회 운동과 관계를 갖고 있으며, 그것을 통하여 자기의 권리와 이익을 지키거나 확대하거나 하면서, 혹은 여러 가지 경험을 축적하고 교류하면서 생활을 영위하고 있다. 사회 운동은 현대 생활과 깊게 결부되고 있는 것이다."
19,"에이벡스 그룹(Avex Group)은 도쿄 미나토에 본사가 있는 일본의 음악 소프트 회사로서 AVEX 그룹의 핵심 회사이다. 영문 명칭은 Avex Entertainment Inc 이며, Audio Visual Expert란 뜻을 가지고 있다. 2004년 10월 1일에 (구) Avex 주식회사를 에이벡스 그룹 홀딩스 주식회사로 회사명을 변경하고 동시에, 자회사로서 (신) AVEX 주식회사를 설립하고 지주 회사화하고 있다. 2005년 4월 1일에 대폭적인 그룹 사업 재편을 해 AVEX 주식회사는 ""에이벡스 엔터테인먼트 주식회사""로 상호를 변경하고 다른 그룹 회사도 상호 변경을 했다. 또 같은 날에 자회사에서 아티스트 매니지먼트업을 영위하는 주식회사 아크시브를 에이벡스 플래닝＆개발 주식회사로 상호 변경해, 아티스트 매니지먼트업을 에이벡스 엔터테인먼트에 이관하고 있다. 한편, CD등은 같은 날부터 발매원이 에이벡스 마케팅 커뮤니케이션 주식회사(그때까지 판매원이었던 주식회사 에이벡스 디스트리뷰션이 상호 변경)로 변경되고 있다."
20,"대통령(大統領, president)은 공화제 국가의 최고 수반으로서 나라에 따라 임기가 다르고, 선출하는 방식도 국민의 직접 투표 혹은 의회에서 선출하는 방식으로 나뉜다. 미국은 시민권자가 자신이 지지하는 후보를 지지하는 선거인단을 선출해 그들이 대통령을 뽑는 간접투표 방식을 택하고 있으므로, 총득표자수는 많아도 선거인단의 수에서 뒤져 낙선하는 경우가 가끔 있다. 또한 나라에 따라 중임(重任)에 제한을 두기도 한다. 흔히 경칭으로는 각하(閣下)로도 알려져 있고 대한민국에서는 정부 수립 이후 사용되다가 제4대 윤보선 정부 때인 1960년 8월 12일 폐지되었으며, 1963년 12월 19일 제3공화국의 출범과 함께 부활했다가 제13대 노태우 정부 때인 1987년 12월 31일까지 쓰였다. 중화인민공화국과 조선민주주의인민공화국, 베트남은 국가주석이고, 중화민국에서는 총통(總統, president)이란 명칭으로 사용된다. 그러나 영문으로 번역할 때는 똑같이 President로 번역된다. 어원으로서는 대(가장 큰 사람), 통(통치하는), 령(그 나라의 국토)으로 이루어진 말로, 어떤 영토안에서 통치하는 자 중에서 가장 큰 인물을 뜻하는 말임."
21,"영국 연방(英國聯邦, , )은 영국 본국과 함께 캐나다, 오스트레일리아, 뉴질랜드 등 옛날 영국의 식민지였던 53개의 국가로 구성된 국제 기구이다. 줄여서 영연방(英聯邦)이라고도 한다. 16세기 후반 엘리자베스 1세 여왕 치세에 영국은 지리상 신발견의 대항해에 동참하여 식민지 제국을 만들었다. 18세기에는 캐나다를 통일하여 대영제국의 식민지로 확정했으며 1788년 죄수들을 시드니에 유배시켜 오스트레일리아 식민지화의 기반을 닦았다. 1600년에 동인도 회사(영국 동인도 회사)를 세운 인도는 1877년 빅토리아 여왕(빅토리아 (영국))이 인도 황제로 즉위하여 단순한 식민지가 아닌 동군 연합의 성격을 가미시켰다. 1867년 캐나다가 자치령으로 승격된 이래 오스트레일리아, 뉴질랜드 등이 자치령이 되어 영국 국왕에 충성한다는 공동의 취지하에 영연방의 윤곽이 잡혔다. 1947년 인도, 파키스탄 등 다른 문화권의 나라들이 독립하여 영연방에 가입함으로써 영연방은 문화적 다원주의로의 체제 개혁이 불가피해졌다."
22,"로동신문 기사에는 여러가지 장성택의 죄상이 나온다. 기사 내용을 정리하면 다음과 같다. 안창연이 숙청당한 이유는 완벽히 알 순 없으나, 대한민국의 대북 전문가들은 장성택의 숙청 배경에 대해 다양한 의견을 내놓았다. 12월 3일 국정원이 장성택의 실각 가능성을 발표한 이후 남한에서는 장성택과 그의 라이벌로 알려진 최룡해의 관계에 주목했다. 장성택의 숙청 사실을 국정원으로부터 보고받고 이를 대외적으로 알린 정청래 민주당 의원은 장성택을 제거한 것이 최룡해 군 총정치국장으로 보인다고 밝혔다. 최룡해는 최현 전 인민무력부장의 아들이다. 조선일보는 최룡해로 대표되는 훈신(勳臣) 세력과 장성택 등 김정은의 척신(戚臣)의 대결에서 훈신 세력이 승리했다는 분석을 내놨다."
23,"1940년 텍스 어베리의 ""A Wild Hare""에서 처음 등장했다. 털 색은 회색으로,두 발로 걸어다닌다. 노래를 잘하며, 음악을 좋아한다. 성격은 느긋하면서 냉정하다. 사냥꾼 엘머 퍼드나 요세미티 샘 등 자신에게 시비를 걸거나 자신을 해치려는 사람을 보면 ""왠일이셔,선생?(What's Up Doc?)""이라고 묻는다. 이 대사는 시청자를 향한 경우도 있다. 또한 자신을 몰아붙인 상대에게 복수 혹은 선전포고하며 하는 말은 ""그러니까 이건, 바로 전쟁이란 뜻이렸다.(Of course you know, this means war.)""  머리가 매우 좋아 자신의 적을 속이는 일도 많은데,이 과정에서 자신을 여장하는 일도 잦다."
24,"파장이 짧은 빛(보라, 파랑, 초록)은 파장이 긴 빛(노랑, 오렌지, 빨강)보다 더 많이 꺾이는데, 보라와 파랑색 빛이 좀 더 꺾여서 우리 눈에는 마치 초록색인 것처럼 보이게 된다. 태양은 활발하게 활동하고 있다. 태양에는 11년의 주기로 강도가 바뀌는 자기장이 형성되어 있다. 태양 자기장은 태양활동이라 불리는 여러 현상들을 발생시키는데, 태양 표면의 흑점이나 태양 플레어(태양플레어), 태양풍 등이 이에 속한다. 또한, 지구의 중위도나 고위도에 오로라를 발생시키며, 라디오 전파나 전력을 교란(지자기 폭풍)시키기도 한다. 태양활동은 또한 태양계 형성과 발전에 기여하기도 했다. 태양활동은 또한 지구 외부 대기(이온층)의 구조를 변화시킨다."
25,"머라이언(Merlion, 말레이어: Singa-Laut)은 싱가포르의 상징물로서 상반신은 사자, 하반신은 물고기의 모습을 한 가공의 동물이다. ‘Merlion’은 ‘lion’(사자)에 'mermaid'(인어)를 합성한 단어이다. 하반신의 물고기는 항구 도시를 상징하여 고대 싱가포르를 ‘테마섹’(Temasek, 자바어로 “바닷가 마을”)이라고 칭한 것에서 유래하며, 상반신의 사자는 싱가포르의 원래 국호 ‘싱가푸라’(Singapura, 산스크리트어로 “사자의 도시”)로부터 유래한다. 이 상징물은 특산품 위원회 회원이자 반 클리프 수족관의 관장이었던 브루너 프레이저가 싱가포르여유국(Singapore Tourism Board, STB)의 로고로서 디자인한 것으로, 1964년 3월 26일부터 1997년까지 사용되었다. 머라이언은 1966년 7월 20일부터 싱가포르여유국의 트레이드마크가 되었다. 1997년 그 로고가 바뀐 후에도 머라이언이 사라지는 것을 막으려는 움직임이 계속되었다. 현재 머라이언은 싱가포르의 대표적인 상징물이며, 각종 기념품에서도 자주 볼 수 있다."
26,"1974년 1월 31일 법인으로 설립한 것이 시초이다. 같은 해 3월 11일, 전세버스 운송사업 인가를 받았고, 또 같은해인 3월 20일에 국내여행 알선업 면허를 취득했다.1984년 국군통합병원 지원 우수 부분 표창을 받았으며, 1991년도에 18회 세계관광의 날 관광산업발전 교통부 장관 표창을 받았다. 1996년 공항버스 인가를 받았다. 2001년 대통령 표창창을 수여했고, 2005년 국가 사회 발전 공로 새마을 훈장을 수여해 현재에 이르게 되었다."
27,"골킥 및 스로인에서는 오프사이드 규칙이 적용되지 않는다. 그리고 하프라인 이전의 필드에서도 오프사이드 규칙이 적용되지 않는다. 또한, 손 또는 팔을 공에 대는 경우에 범하는 반칙을 핸들링 반칙이라 부르며, 영어로는 핸드볼(handball)이라고 한다. 골키퍼는 페널티 에어리어 안에서 손을 사용할 수 있지만, 일반 선수들은 스로인(throw in)을 제외하고는 손을 사용할 수 없다. 이를 어기게 되면 핸들링이 되어 상대편에게 직접 프리킥이 주어진다."
